id,title,revenue,budget,release_date,name_crew
862,Toy Story,373554033,30000000,1995-10-30,John Lasseter
8844,Jumanji,262797249,65000000,1995-12-15,Joe Johnston
15602,Grumpier Old Men,0,0,1995-12-22,Howard Deutch
31357,Waiting to Exhale,81452156,16000000,1995-12-22,Forest Whitaker
11862,Father of the Bride Part II,76578911,0,1995-02-10,Charles Shyer
949,Heat,187436818,60000000,1995-12-15,Michael Mann
11860,Sabrina,0,58000000,1995-12-15,Sydney Pollack
45325,Tom and Huck,0,0,1995-12-22,Peter Hewitt
9091,Sudden Death,64350171,35000000,1995-12-22,Peter Hyams
710,GoldenEye,352194034,58000000,1995-11-16,Martin Campbell
9087,The American President,107879496,62000000,1995-11-17,Rob Reiner
12110,Dracula: Dead and Loving It,0,0,1995-12-22,Mel Brooks
21032,Balto,11348324,0,1995-12-22,Simon Wells
10858,Nixon,13681765,44000000,1995-12-22,Oliver Stone
1408,Cutthroat Island,10017322,98000000,1995-12-22,Renny Harlin
524,Casino,116112375,52000000,1995-11-22,Martin Scorsese
4584,Sense and Sensibility,135000000,16500000,1995-12-13,Ang Lee
5,Four Rooms,4300000,4000000,1995-12-09,Allison Anders
5,Four Rooms,4300000,4000000,1995-12-09,Alexandre Rockwell
5,Four Rooms,4300000,4000000,1995-12-09,Robert Rodriguez
5,Four Rooms,4300000,4000000,1995-12-09,Quentin Tarantino
9273,Ace Ventura: When Nature Calls,212385533,30000000,1995-11-10,Steve Oedekerk
11517,Money Train,35431113,60000000,1995-11-21,Joseph Ruben
8012,Get Shorty,115101622,30250000,1995-10-20,Barry Sonnenfeld
1710,Copycat,0,0,1995-10-27,Jon Amiel
9691,Assassins,30303072,50000000,1995-10-06,Richard Donner
12665,Powder,0,0,1995-10-27,Victor Salva
451,Leaving Las Vegas,49800000,3600000,1995-10-27,Mike Figgis
16420,Othello,0,0,1995-12-15,Oliver Parker
9263,Now and Then,27400000,12000000,1995-10-20,Lesli Linka Glatter
17015,Persuasion,0,0,1995-09-27,Roger Michell
902,The City of Lost Children,1738611,18000000,1995-05-16,Jean-Pierre Jeunet
902,The City of Lost Children,1738611,18000000,1995-05-16,Marc Caro
37557,Shanghai Triad,0,0,1995-04-30,Zhang Yimou
9909,Dangerous Minds,180000000,0,1995-08-11,John N. Smith
63,Twelve Monkeys,168840000,29500000,1995-12-29,Terry Gilliam
78802,Wings of Courage,0,0,1996-09-18,Jean-Jacques Annaud
9598,Babe,254134910,30000000,1995-07-18,Chris Noonan
47018,Carrington,0,0,1995-11-08,Christopher Hampton
687,Dead Man Walking,39363635,11000000,1995-12-29,Tim Robbins
139405,Across the Sea of Time,0,0,1995-10-20,Stephen Low
33689,It Takes Two,0,0,1995-11-17,Andy Tennant
9603,Clueless,0,12000000,1995-07-19,Amy Heckerling
34615,"Cry, the Beloved Country",676525,0,1995-12-15,Darrell James Roodt
31174,Richard III,0,0,1995-12-29,Richard Loncraine
11443,Dead Presidents,0,10000000,1995-10-06,Albert Hughes
11443,Dead Presidents,0,10000000,1995-10-06,Allen Hughes
35196,Restoration,0,19000000,1995-12-29,Michael Hoffman
9312,Mortal Kombat,122195920,18000000,1995-08-18,Paul W.S. Anderson
577,To Die For,21284514,20000000,1995-05-20,Gus Van Sant
11861,How To Make An American Quilt,23574130,10000000,1995-10-06,Jocelyn Moorhouse
807,Se7en,327311859,33000000,1995-09-22,David Fincher
10530,Pocahontas,346079773,55000000,1995-06-14,Mike Gabriel
10530,Pocahontas,346079773,55000000,1995-06-14,Eric Goldberg
8391,When Night Is Falling,0,0,1995-05-05,Patricia Rozema
629,The Usual Suspects,23341568,6000000,1995-07-19,Bryan Singer
117164,Guardian Angel,0,0,1994-11-22,Richard W. Munchkin
11448,Mighty Aphrodite,6700000,15000000,1995-09-13,Woody Allen
49133,Lamerica,0,0,1994-01-01,Gianni Amelio
26441,The Big Green,0,0,1995-09-29,Holly Goldberg Sloan
97406,Georgia,0,0,1995-05-19,Ulu Grosbard
124057,Kids of the Round Table,0,0,1997-07-08,Robert Tinnell
9089,Home for the Holidays,17519169,0,1995-11-02,Jodie Foster
11010,The Postman,0,0,1994-09-22,Michael Radford
99040,The Confessional,0,0,1995-09-29,Robert Lepage
11359,The Indian in the Cupboard,0,45000000,1995-07-14,Frank Oz
17182,Eye for an Eye,0,20000000,1996-01-12,John Schlesinger
2054,Mr. Holland's Opus,106269971,0,1995-12-29,Stephen Herek
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,0,1996-01-12,Paris Barclay
19760,Two If by Sea,0,0,1996-01-12,Bill Bennett
9536,Bio-Dome,0,15000000,1996-01-12,Jason Bloom
11525,Lawnmower Man 2: Beyond Cyberspace,2409225,0,1996-01-12,Farhad Mann
40628,Two Bits,0,0,1995-10-22,James Foley
4482,French Twist,0,0,1995-02-08,Josiane Balasko
10634,Friday,28215918,3500000,1995-04-26,F. Gary Gray
755,From Dusk Till Dawn,25836616,19000000,1996-01-19,Robert Rodriguez
11859,Fair Game,11534477,50000000,1995-11-03,Andrew Sipes
28387,Kicking and Screaming,718490,0,1995-10-06,Noah Baumbach
48750,Les Miserables,0,0,1995-03-22,Claude Lelouch
20927,Bed of Roses,19030691,0,1996-01-26,Michael Goldenberg
36929,Big Bully,2042530,15000000,1996-01-26,Steve Miner
9102,Screamers,5781885,20000000,1995-09-08,Christian Duguay
124626,Nico Icon,0,0,1995-02-18,Susanne Ofteringer
27526,The Crossing Guard,0,0,1995-11-15,Sean Penn
9623,The Juror,0,44000000,1996-02-02,Brian Gibson
46785,The White Balloon,0,0,1995-01-01,Jafar Panahi
400,Things to Do in Denver When You're Dead,529766,8000000,1995-12-01,Gary Fleder
880,Antonia's Line,0,900000,1995-09-12,Marleen Gorris
146599,Once Upon a Time... When We Were Colored,0,0,1996-01-26,Tim Reid
188588,Last Summer in the Hamptons,0,0,1995-11-22,Henry Jaglom
8447,Angels and Insects,0,0,1995-09-10,Philip Haas
10534,White Squall,10300000,38000000,1996-02-02,Ridley Scott
17414,Dunston Checks In,0,16000000,1996-01-12,Ken Kwapis
13997,Black Sheep,32,0,1996-02-01,Penelope Spheeris
2086,Nick of Time,8175346,8169363,1995-11-22,John Badham
61548,The Journey of August King,0,0,1995-09-14,John Duigan
9095,Mary Reilly,12379402,47000000,1996-02-23,Stephen Frears
12158,Vampire in Brooklyn,19800000,14000000,1995-10-26,Wes Craven
9283,Beautiful Girls,0,0,1996-02-09,Ted Demme
9208,Broken Arrow,150270147,50000000,1996-02-09,John Woo
40154,A Midwinter's Tale,0,0,1995-12-01,Kenneth Branagh
406,La Haine,0,3000000,1995-05-31,Mathieu Kassovitz
45549,Shopping,0,0,1994-12-06,Paul W.S. Anderson
63076,Heidi Fleiss: Hollywood Madam,0,0,1995-12-27,Nick Broomfield
11062,City Hall,0,0,1996-02-16,Harold Becker
13685,Bottle Rocket,560069,7000000,1996-02-21,Wes Anderson
47475,Mr. Wrong,0,0,1996-02-16,Nick Castle
2045,Unforgettable,0,18000000,1996-02-23,John Dahl
9614,Happy Gilmore,41205099,12000000,1996-02-16,Dennis Dugan
688,The Bridges of Madison County,182016617,24000000,1995-05-28,Clint Eastwood
11907,Nobody Loves Me,0,0,1994-11-07,Doris Dörrie
10874,Muppet Treasure Island,34327391,0,1996-02-16,Brian Henson
89333,Catwalk,0,0,1995-12-08,Robert Leacock
96357,Headless Body in Topless Bar,0,0,1995-05-20,James Bruce
197,Braveheart,210000000,72000000,1995-05-24,Mel Gibson
103,Taxi Driver,28262574,1300000,1976-02-07,Martin Scorsese
33542,Rumble in the Bronx,32392047,7500000,1995-01-30,Stanley Tong
43566,Before and After,0,35000000,1996-02-23,Barbet Schroeder
71754,Margaret's Museum,0,0,1995-09-13,Mort Ransen
43612,Happiness Is in the Field,0,13365000,1995-01-31,Étienne Chatiliez
51352,Anne Frank Remembered,1,0,1995-06-08,Jon Blair
16934,The Young Poisoner's Handbook,0,0,1995-01-20,Benjamin Ross
10324,If Lucy Fell,0,0,1996-03-08,Eric Schaeffer
78406,Steal Big Steal Little,6278139,25000000,1995-09-29,Andrew Davis
55731,Race the Sun,0,0,1996-03-22,Charles T. Kanganis
32119,The Boys of St. Vincent,0,0,1992-12-06,John N. Smith
11066,Boomerang,70100000,40000000,1992-06-30,Reginald Hudlin
11104,Chungking Express,0,0,1994-07-14,Wong Kar-wai
37975,The Star Maker,0,0,1995-09-21,Giuseppe Tornatore
2074,Flirting with Disaster,14702438,7000000,1996-03-22,David O. Russell
27793,The Neverending Story III: Escape from Fantasia,0,17000000,1994-10-26,Peter MacDonald
44284,The Silences of the Palace,0,0,1994-09-30,Moufida Tlatli
290157,Jupiter's Wife,0,0,1995-01-01,Michel Negroponte
110972,Pie in the Sky,0,0,1996-02-09,Bryan Gordon
32622,Angela,0,0,1995-01-01,Rebecca Miller
73067,Frankie Starlight,0,0,1995-11-22,Michael Lindsay-Hogg
11863,Jade,9851610,50000000,1995-10-13,William Friedkin
55475,Nueba Yol,0,0,1995-08-16,Ángel Muñiz
124636,Sonic Outlaws,0,0,1995-08-01,Craig Baldwin
9101,Down Periscope,0,0,1996-03-01,David S. Ward
123360,From the Journals of Jean Seberg,0,0,1995-09-08,Mark Rappaport
5757,Man of the Year,209935,0,1995-09-15,Dirk Shafer
39428,The Neon Bible,0,0,1995-08-23,Terence Davies
124639,Target,0,0,1995-08-01,Sandip Ray
9302,Up Close & Personal,0,60000000,1996-03-01,Jon Avnet
11000,The Birdcage,185260553,31000000,1996-03-08,Mike Nichols
249882,Virgin Mary,0,0,1995-10-12,Jakov Sedlar
16388,The Brothers McMullen,0,0,1995-08-09,Edward Burns
9737,Bad Boys,141407024,19000000,1995-04-07,Michael Bay
30765,The Amazing Panda Adventure,0,0,1995-08-25,Christopher Cain
10474,The Basketball Diaries,0,0,1995-04-21,Scott Kalvert
22279,An Awfully Big Adventure,851545,4000000,1995-07-21,Mike Newell
30157,Amateur,0,0,1994-08-05,Hal Hartley
568,Apollo 13,355237933,52000000,1995-06-30,Ron Howard
11780,Rob Roy,31596911,28000000,1995-04-13,Michael Caton-Jones
34996,The Addiction,0,0,1995-01-10,Abel Ferrara
414,Batman Forever,336529144,100000000,1995-06-16,Joel Schumacher
649,Belle de Jour,0,0,1967-05-24,Luis Buñuel
1873,Beyond Rangoon,0,0,1995-05-24,John Boorman
5894,Blue in the Face,1275000,2000000,1995-09-15,Paul Auster
5894,Blue in the Face,1275000,2000000,1995-09-15,Wayne Wang
1775,Canadian Bacon,178104,11000000,1995-06-08,Michael Moore
8839,Casper,287928194,50000000,1995-05-26,Brad Silberling
20649,Clockers,13071518,25000000,1995-09-15,Spike Lee
10329,Congo,152022101,50000000,1995-06-09,Frank Marshall
8963,Crimson Tide,157387195,53000000,1995-05-12,Tony Scott
