id,title,revenue,name_collection
862,Toy Story,373554033,Toy Story Collection
15602,Grumpier Old Men,0,Grumpy Old Men Collection
11862,Father of the Bride Part II,76578911,Father of the Bride Collection
710,GoldenEye,352194034,James Bond Collection
21032,Balto,11348324,Balto Collection
9273,Ace Ventura: When Nature Calls,212385533,Ace Ventura Collection
8012,Get Shorty,115101622,Chili Palmer Collection
9598,Babe,254134910,Babe Collection
9312,Mortal Kombat,122195920,Mortal Kombat Collection
10530,Pocahontas,346079773,Pocahontas Collection
11525,Lawnmower Man 2: Beyond Cyberspace,2409225,The Lawnmower Man Collection
10634,Friday,28215918,Friday Collection
755,From Dusk Till Dawn,25836616,From Dusk Till Dawn Collection
9102,Screamers,5781885,Screamers Collection
10874,Muppet Treasure Island,34327391,The Muppet Collection
27793,The Neverending Story III: Escape from Fantasia,0,The Neverending Story Collection
9737,Bad Boys,141407024,Bad Boys Collection
414,Batman Forever,336529144,Batman Collection
5894,Blue in the Face,1275000,Brooklyn Cigar Store Collection
8839,Casper,287928194,Casper Collection
8068,Desperado,25405445,Mexico Trilogy
1572,Die Hard: With a Vengeance,366101666,Die Hard Collection
13552,The Doom Generation,0,Teenage Apocalypse Trilogy
9073,Free Willy 2 - The Adventure Home,0,Free Willy Collection
9070,Mighty Morphin Power Rangers: The Movie,66000000,Power Rangers Collection
1642,The Net,110627965,Síť (kolekce)
11980,The Prophecy,16,The Prophecy Collection
10802,Showgirls,20350754,Showgirls Collection
10149,Smoke,8349430,Brooklyn Cigar Store Collection
9348,Species,113374103,Species Collection
3512,Under Siege 2: Dark Territory,104324083,Under Siege Collection
50797,Burnt by the Sun,2616503,Burnt by the Sun Trilogy
76,Before Sunrise,5535405,Before... Collection
2292,Clerks,3151130,Clerks Collection
8467,Dumb and Dumber,247275374,Dumb and Dumber Collection
15789,A Goofy Movie,35348597,A Goofy Movie Collection
628,Interview with the Vampire,223664608,The Vampire Chronicles
11,Star Wars,775398007,Star Wars Collection
63105,Nemesis 2 - Nebula,0,Nemesis Collection
