id,title,runtime,release_year
862,Toy Story,81.0,1995
8844,Jumanji,104.0,1995
15602,Grumpier Old Men,101.0,1995
31357,Waiting to Exhale,127.0,1995
11862,Father of the Bride Part II,106.0,1995
949,Heat,170.0,1995
11860,Sabrina,127.0,1995
45325,Tom and Huck,97.0,1995
9091,Sudden Death,106.0,1995
710,GoldenEye,130.0,1995
9087,The American President,106.0,1995
12110,Dracula: Dead and Loving It,88.0,1995
21032,Balto,78.0,1995
10858,Nixon,192.0,1995
1408,Cutthroat Island,119.0,1995
524,Casino,178.0,1995
4584,Sense and Sensibility,136.0,1995
5,Four Rooms,98.0,1995
9273,Ace Ventura: When Nature Calls,90.0,1995
11517,Money Train,103.0,1995
8012,Get Shorty,105.0,1995
1710,Copycat,124.0,1995
9691,Assassins,132.0,1995
12665,Powder,111.0,1995
451,Leaving Las Vegas,112.0,1995
16420,Othello,123.0,1995
9263,Now and Then,100.0,1995
17015,Persuasion,104.0,1995
902,The City of Lost Children,108.0,1995
37557,Shanghai Triad,108.0,1995
9909,Dangerous Minds,99.0,1995
63,Twelve Monkeys,129.0,1995
78802,Wings of Courage,50.0,1996
9598,Babe,89.0,1995
47018,Carrington,121.0,1995
687,Dead Man Walking,122.0,1995
139405,Across the Sea of Time,51.0,1995
33689,It Takes Two,101.0,1995
9603,Clueless,97.0,1995
34615,"Cry, the Beloved Country",106.0,1995
31174,Richard III,104.0,1995
11443,Dead Presidents,119.0,1995
35196,Restoration,117.0,1995
9312,Mortal Kombat,101.0,1995
577,To Die For,106.0,1995
11861,How To Make An American Quilt,116.0,1995
807,Se7en,127.0,1995
10530,Pocahontas,81.0,1995
8391,When Night Is Falling,96.0,1995
629,The Usual Suspects,106.0,1995
117164,Guardian Angel,93.0,1994
11448,Mighty Aphrodite,95.0,1995
49133,Lamerica,116.0,1994
26441,The Big Green,100.0,1995
97406,Georgia,115.0,1995
124057,Kids of the Round Table,89.0,1997
9089,Home for the Holidays,103.0,1995
11010,The Postman,108.0,1994
99040,The Confessional,100.0,1995
11359,The Indian in the Cupboard,96.0,1995
17182,Eye for an Eye,101.0,1996
2054,Mr. Holland's Opus,137.0,1995
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89.0,1996
19760,Two If by Sea,96.0,1996
9536,Bio-Dome,88.0,1996
11525,Lawnmower Man 2: Beyond Cyberspace,92.0,1996
40628,Two Bits,85.0,1995
4482,French Twist,95.0,1995
10634,Friday,91.0,1995
755,From Dusk Till Dawn,108.0,1996
11859,Fair Game,91.0,1995
28387,Kicking and Screaming,96.0,1995
48750,Les Miserables,175.0,1995
20927,Bed of Roses,87.0,1996
36929,Big Bully,90.0,1996
9102,Screamers,108.0,1995
124626,Nico Icon,70.0,1995
27526,The Crossing Guard,111.0,1995
9623,The Juror,118.0,1996
46785,The White Balloon,85.0,1995
400,Things to Do in Denver When You're Dead,116.0,1995
880,Antonia's Line,102.0,1995
146599,Once Upon a Time... When We Were Colored,115.0,1996
188588,Last Summer in the Hamptons,108.0,1995
8447,Angels and Insects,118.0,1995
10534,White Squall,129.0,1996
17414,Dunston Checks In,88.0,1996
13997,Black Sheep,87.0,1996
2086,Nick of Time,90.0,1995
61548,The Journey of August King,91.0,1995
9095,Mary Reilly,104.0,1996
12158,Vampire in Brooklyn,100.0,1995
9283,Beautiful Girls,112.0,1996
9208,Broken Arrow,108.0,1996
40154,A Midwinter's Tale,99.0,1995
406,La Haine,98.0,1995
45549,Shopping,105.0,1994
63076,Heidi Fleiss: Hollywood Madam,106.0,1995
11062,City Hall,111.0,1996
13685,Bottle Rocket,91.0,1996
47475,Mr. Wrong,96.0,1996
2045,Unforgettable,106.0,1996
9614,Happy Gilmore,92.0,1996
688,The Bridges of Madison County,135.0,1995
11907,Nobody Loves Me,104.0,1994
10874,Muppet Treasure Island,100.0,1996
89333,Catwalk,95.0,1995
96357,Headless Body in Topless Bar,110.0,1995
197,Braveheart,177.0,1995
103,Taxi Driver,114.0,1976
33542,Rumble in the Bronx,91.0,1995
43566,Before and After,108.0,1996
71754,Margaret's Museum,114.0,1995
43612,Happiness Is in the Field,106.0,1995
51352,Anne Frank Remembered,117.0,1995
16934,The Young Poisoner's Handbook,99.0,1995
10324,If Lucy Fell,92.0,1996
78406,Steal Big Steal Little,113.0,1995
55731,Race the Sun,100.0,1996
32119,The Boys of St. Vincent,90.0,1992
11066,Boomerang,117.0,1992
11104,Chungking Express,102.0,1994
37975,The Star Maker,113.0,1995
2074,Flirting with Disaster,92.0,1996
27793,The Neverending Story III: Escape from Fantasia,95.0,1994
44284,The Silences of the Palace,116.0,1994
