id,title,revenue,id_movie,name_companies
862,Toy Story,373554033,862,Pixar Animation Studios
8844,Jumanji,262797249,8844,TriStar Pictures
8844,Jumanji,262797249,8844,Teitler Film
8844,Jumanji,262797249,8844,Interscope Communications
15602,Grumpier Old Men,0,15602,Warner Bros.
15602,Grumpier Old Men,0,15602,Lancaster Gate
31357,Waiting to Exhale,81452156,31357,Twentieth Century Fox Film Corporation
11862,Father of the Bride Part II,76578911,11862,Sandollar Productions
11862,Father of the Bride Part II,76578911,11862,Touchstone Pictures
949,Heat,187436818,949,Regency Enterprises
949,Heat,187436818,949,Forward Pass
949,Heat,187436818,949,Warner Bros.
11860,Sabrina,0,11860,Paramount Pictures
11860,Sabrina,0,11860,Scott Rudin Productions
11860,Sabrina,0,11860,Mirage Enterprises
11860,Sabrina,0,11860,Sandollar Productions
11860,Sabrina,0,11860,Constellation Entertainment
11860,Sabrina,0,11860,Worldwide
11860,Sabrina,0,11860,Mont Blanc Entertainment GmbH
45325,Tom and Huck,0,45325,Walt Disney Pictures
9091,Sudden Death,64350171,9091,Universal Pictures
9091,Sudden Death,64350171,9091,Imperial Entertainment
9091,Sudden Death,64350171,9091,Signature Entertainment
710,GoldenEye,352194034,710,United Artists
710,GoldenEye,352194034,710,Eon Productions
9087,The American President,107879496,9087,Columbia Pictures
9087,The American President,107879496,9087,Castle Rock Entertainment
12110,Dracula: Dead and Loving It,0,12110,Columbia Pictures
12110,Dracula: Dead and Loving It,0,12110,Castle Rock Entertainment
12110,Dracula: Dead and Loving It,0,12110,Enigma Pictures
21032,Balto,11348324,21032,Universal Pictures
21032,Balto,11348324,21032,Amblin Entertainment
21032,Balto,11348324,21032,Amblimation
10858,Nixon,13681765,10858,Hollywood Pictures
10858,Nixon,13681765,10858,Cinergi Pictures Entertainment
1408,Cutthroat Island,10017322,1408,Le Studio Canal+
1408,Cutthroat Island,10017322,1408,Laurence Mark Productions
1408,Cutthroat Island,10017322,1408,Metro-Goldwyn-Mayer (MGM)
1408,Cutthroat Island,10017322,1408,Carolco Pictures
524,Casino,116112375,524,Universal Pictures
524,Casino,116112375,524,Légende Entreprises
524,Casino,116112375,524,Syalis DA
524,Casino,116112375,524,De Fina-Cappa
4584,Sense and Sensibility,135000000,4584,Columbia Pictures Corporation
4584,Sense and Sensibility,135000000,4584,Mirage Enterprises
5,Four Rooms,4300000,5,Miramax Films
5,Four Rooms,4300000,5,A Band Apart
9273,Ace Ventura: When Nature Calls,212385533,9273,O Entertainment
9273,Ace Ventura: When Nature Calls,212385533,9273,Warner Bros.
9273,Ace Ventura: When Nature Calls,212385533,9273,Morgan Creek Productions
11517,Money Train,35431113,11517,Columbia Pictures
8012,Get Shorty,115101622,8012,Jersey Films
8012,Get Shorty,115101622,8012,Metro-Goldwyn-Mayer (MGM)
1710,Copycat,0,1710,Regency Enterprises
1710,Copycat,0,1710,New Regency Pictures
9691,Assassins,30303072,9691,Silver Pictures
9691,Assassins,30303072,9691,Canal+
9691,Assassins,30303072,9691,Warner Bros.
9691,Assassins,30303072,9691,Dino De Laurentiis Company
